NU_INSCRICAO,NU_IDADE,TP_SEXO,TP_COR_RACA,TP_ST_CONCLUSAO,TP_ANO_CONCLUIU,TP_ESCOLA,NU_NOTA_CN,NU_NOTA_CH,NU_NOTA_LC,NU_NOTA_MT,TP_LINGUA,NU_NOTA_COMP1,NU_NOTA_COMP2,NU_NOTA_COMP3,NU_NOTA_COMP4,NU_NOTA_COMP5,NU_NOTA_REDACAO,Q001,Q002,Q006,Q024,Q025,Q026,Q047
ed50e8aaa58e7a806c337585efee9ca41f1eb1ad,24,1.0,1,1,4,1,436.3,495.4,581.2,399.4,1,120.0,120.0,120.0,80.0,80.0,520.0,4,4,3,1,1,3,1
2c3acac4b33ec2b195d77e7c04a2d75727fad723,17,2.0,3,2,0,2,474.5,544.1,599.0,459.8,1,140.0,120.0,120.0,120.0,80.0,580.0,1,1,2,1,1,1,1
a37c99ec251d4f6e8ddbeabadf1c87fdbfddc4d1,18,2.0,1,1,1,1,439.7,583.2,410.9,364.5,0,120.0,120.0,120.0,160.0,100.0,620.0,5,5,3,2,2,1,1
63b4e128e9ffe8ab27f5d093db1976ef4f353e0a,18,2.0,3,2,0,2,420.1,604.2,484.5,529.2,0,100.0,120.0,120.0,120.0,100.0,560.0,5,4,3,2,2,3,1
2eb189d4912f64b19d1967e8e84b6141aba18770,18,2.0,1,1,1,1,619.6,625.8,611.2,566.7,0,140.0,120.0,120.0,120.0,120.0,620.0,7,6,12,2,2,1,4
5822cb43e0800429be2084b3f86a63aaa73fa66c,16,2.0,3,2,0,2,500.5,555.2,521.8,372.4,1,140.0,160.0,140.0,140.0,100.0,680.0,8,5,2,1,2,1,1
3c44449ad09dc6a72c77c3bd3b5fd06a6d3f66e8,29,2.0,3,1,8,1,413.4,407.9,533.9,419.6,1,100.0,100.0,100.0,100.0,120.0,520.0,1,2,2,1,1,3,1
6f721ecb245bd74eaeda78b8d8135e8adeba6dc0,17,2.0,3,2,0,2,503.4,509.6,490.1,369.9,1,120.0,160.0,120.0,120.0,60.0,580.0,4,5,2,1,1,1,1
70b1dacb515d1aecead8a53cb465a70fda4b62b6,27,1.0,3,1,7,1,402.6,556.9,599.0,464.2,0,120.0,80.0,40.0,120.0,0.0,360.0,2,5,2,3,1,2,1
67a173ad63a2a3f77c8905b49e83084b7c1cd6b0,18,1.0,3,1,2,1,477.8,462.9,511.9,453.4,0,100.0,60.0,60.0,80.0,60.0,360.0,2,1,1,1,1,1,1
6118b53a6c928609d5ec78f7b6ae463ee3f766e3,16,1.0,1,3,0,1,561.8,640.8,596.5,480.4,0,160.0,160.0,160.0,160.0,80.0,720.0,6,7,10,2,2,3,4
036bce628d802e0da1fc727057dd40e979a03ac3,24,2.0,2,2,0,2,474.4,540.0,517.4,402.4,1,120.0,80.0,80.0,120.0,60.0,460.0,1,1,2,1,1,3,1
e2550a9dbfe4dfa31af61ab8cbdd08de283fd7ba,20,1.0,3,1,1,1,395.5,425.2,569.5,475.8,1,100.0,120.0,80.0,100.0,120.0,520.0,4,3,2,1,1,1,1
bedf9d4bf2c29669d24ef9ed9fa4bb6b8a2b574b,18,2.0,1,2,0,2,471.9,628.0,588.2,518.0,1,160.0,140.0,160.0,140.0,180.0,780.0,3,2,3,1,1,1,1
2600ee9cbb63e8dc65423f18d2f33c8ad198edfe,18,2.0,3,1,1,1,484.8,485.3,559.1,475.3,1,120.0,100.0,120.0,120.0,40.0,500.0,4,4,2,2,2,1,1
9f1f0f639f56faed5cdb4db727692f9a49f7818b,19,1.0,3,2,0,2,473.2,439.1,472.8,430.8,0,120.0,80.0,80.0,80.0,40.0,400.0,2,2,2,1,1,2,1
45837167deb9a4e1969d5d9bdb31e8bfe7c94017,19,2.0,3,2,0,2,390.4,521.3,522.5,377.3,0,120.0,80.0,100.0,120.0,20.0,440.0,2,3,3,2,2,2,1
e1268d2857278d8ec8055524bc29cc16b5c4174f,21,1.0,3,1,4,1,475.8,530.0,483.1,467.3,1,120.0,120.0,120.0,120.0,40.0,520.0,2,2,6,2,1,3,1
b6b8661c6a0867a13e83b584a0468d5e05804128,21,2.0,3,1,2,1,413.6,522.3,530.1,553.9,1,160.0,160.0,160.0,160.0,140.0,780.0,5,3,2,2,2,2,1
3982766156703660bd7c9662b663d250a68f2734,17,2.0,3,2,0,2,510.0,560.2,424.6,394.0,0,160.0,160.0,140.0,160.0,100.0,720.0,5,4,2,1,1,1,1
b82b9c8e6d995692aedfad5a31c0c14cfcf108f1,19,1.0,1,2,0,2,440.0,477.2,470.5,415.5,1,120.0,120.0,100.0,120.0,140.0,600.0,2,2,4,2,1,1,1
3b096a7385fbcd24adb5e622db6ec33ad81b711c,17,2.0,3,2,0,2,430.6,544.2,402.9,427.3,1,140.0,120.0,120.0,140.0,100.0,620.0,3,3,1,1,1,2,1
ab01ff1e35bb088cda3ccb34ee11e718cf49961c,24,2.0,2,1,6,1,449.7,485.0,518.5,508.0,0,120.0,120.0,120.0,120.0,40.0,520.0,4,3,4,1,2,3,1
91720b5fe48f70c5f4b21231f265badbb7965923,17,2.0,3,2,0,2,465.7,559.7,542.5,563.6,1,160.0,160.0,160.0,160.0,120.0,760.0,1,4,2,1,1,1,1
3f910c1717d215698a89b7774fae6aae9ce80a9b,18,2.0,1,2,0,2,477.3,554.3,441.9,383.2,1,100.0,80.0,80.0,80.0,80.0,420.0,3,6,8,2,2,1,1
160449496c59d74d6efaed45b00fd1802d7b8fe0,15,1.0,3,3,0,1,467.8,512.9,452.4,470.0,1,140.0,140.0,120.0,120.0,80.0,600.0,5,7,6,2,2,1,4
5c90f15a173eb63ffaff1dda01bb41959cea8ade,18,2.0,3,1,1,1,407.8,559.8,479.3,435.4,1,140.0,120.0,120.0,120.0,140.0,640.0,2,5,3,2,2,1,1
642546ecc2ac60f7533a50e51b3ced50d438fa2a,24,2.0,3,1,8,1,401.4,506.9,518.0,373.9,1,160.0,120.0,120.0,120.0,80.0,600.0,8,5,3,2,2,3,1
bcca1cc0d5b3005d943cd206eb899d1b0470d118,17,1.0,1,1,1,1,448.9,639.2,604.4,542.4,0,160.0,140.0,140.0,140.0,140.0,720.0,5,7,7,4,2,1,2
80657dbe741b33c3b8aa6627ff05d721fc473535,18,2.0,3,2,0,2,373.4,518.4,521.8,405.7,1,120.0,120.0,80.0,120.0,40.0,480.0,8,4,5,2,2,1,1
c9fe095eda5d50f8fd64a9066f0c5cfc66b742d3,18,1.0,1,2,0,2,560.8,586.9,623.0,555.6,0,120.0,120.0,120.0,120.0,140.0,620.0,2,3,4,3,2,3,1
ce018e1ed8c91f329f952c59abec1059d15544fc,16,1.0,1,3,0,1,593.9,549.4,603.1,539.7,0,120.0,120.0,80.0,120.0,40.0,480.0,3,3,8,1,2,3,1
